p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.0735801018857409e-5,0.26480420588789144,0.826,0.838,0.138384475133072,6,Frmd4a
3.1417122575997605e-5,0.868014246984889,0.254,0.184,0.4049667100046091,6,Nova1
3.524690178598886e-5,0.3120478300709415,0.813,0.782,0.45433256402139643,6,Nalf1
1.1033830008409134e-84,4.840699221078608,0.509,0.04,1.4222606880839375e-80,4,Chst9
2.3451936248029186e-81,3.5777688745914373,0.759,0.123,3.022954582370962e-77,4,Foxp2
1.5452358069812545e-65,2.687944429599965,0.982,0.4,1.991808955198837e-61,4,Erbb4
3.7920744137194955e-44,1.4278843540290742,1,0.849,4.887983919284429e-40,4,Nkain2
6.889073448210391e-35,1.9896783823342319,0.83,0.38,8.880015674743195e-31,4,LOC103691527
8.963198209815598e-34,2.1028235513165603,0.804,0.405,1.1553562492452307e-29,4,Grm8
2.5134703277419294e-33,1.5220755475681402,0.982,0.764,3.239863252459347e-29,4,Kcnd2
7.051852975915046e-28,3.195336692350695,0.411,0.095,9.089838485954494e-24,4,Pbx3
8.619857764015784e-27,2.4289021525978836,0.589,0.216,1.1110996657816345e-22,4,St6galnac3
2.424498193178505e-22,1.694374126934831,0.67,0.299,3.1251781710070927e-18,4,Meis2
7.063812179165687e-19,1.4894602454663706,0.759,0.44,9.10525389894457e-15,4,Trpm3
1.7089378905841571e-15,0.6577800456157368,0.991,0.911,2.2028209409629785e-11,4,Nrxn3
2.971933435674823e-15,1.1905815020445223,0.768,0.476,3.830822198584847e-11,4,Prkg1
2.632462951226391e-14,2.286305472275569,0.348,0.12,3.393244744130818e-10,4,Sphkap
3.2713895622257264e-13,1.596798002165015,0.527,0.263,4.2168211457089616e-9,4,Nkain3
7.560955267619516e-13,0.5737369012320954,1,0.945,9.746071339961557e-9,4,Dlg2
1.3888331527961193e-12,2.2274473292061203,0.339,0.125,1.7902059339541977e-8,4,Csgalnact1
2.1848231408848168e-12,1.1814343816809179,0.634,0.361,2.8162370286005287e-8,4,Adarb2
3.5544708474333236e-12,1.4022670090685048,0.554,0.308,4.581712922341554e-8,4,Pak5
9.962685723990633e-12,1.085873216879257,0.705,0.488,1.2841901898223928e-7,4,Pbx1
2.8942071559312183e-147,3.863708894365324,0.895,0.129,3.7306330239953404e-143,8,Ntng1
5.835327790002028e-106,3.3594157594120584,0.692,0.086,7.521737521312615e-102,8,Rnf220
6.253145338765074e-97,4.877281097269225,0.372,0.014,8.060304341668181e-93,8,Plekhg1
9.75179199106254e-95,4.021645301304432,0.448,0.028,1.2570059876479614e-90,8,Tcf7l2
5.013161073961471e-81,4.899530267067863,0.314,0.012,6.461964624336336e-77,8,Synpo2
9.653008349347686e-77,4.695836736977677,0.291,0.01,1.2442727762309167e-72,8,Lef1
5.693970284413129e-73,1.6735836460415001,1,0.913,7.339527696608523e-69,8,Kcnip4
7.467270919428533e-60,1.818681138147387,0.791,0.213,9.62531221514338e-56,8,Nxph1
