p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.3949843831857447e-18,1.3729374229570863,0.285,0.081,3.087134869926425e-14,7,Osbp2
3.4608553104681537e-18,1.0514465747002184,0.383,0.13,4.46104249519345e-14,7,Fras1
5.61397688075026e-18,0.8703680999726102,0.397,0.137,7.236416199287085e-14,7,Npas2
6.413016412873549e-18,1.1470102401868902,0.341,0.11,8.266378156194005e-14,7,Prkcg
7.361041891594686e-18,1.6695490900296373,0.276,0.082,9.48838299826555e-14,7,LOC102553329
1.0892539298635875e-17,1.4208916616429685,0.346,0.117,1.4040483155941644e-13,7,Trpc5
1.1386359064974804e-17,0.8914441497262011,0.64,0.298,1.4677016834752522e-13,7,Gabbr2
1.6995232276583382e-17,0.8566407730892704,0.687,0.348,2.1906854404515978e-13,7,Enox1
1.9358591579606377e-17,0.8392711678743252,0.621,0.294,2.495322454611262e-13,7,Syn2
4.6077938726146044e-17,1.1518423049784974,0.388,0.142,5.939446301800225e-13,7,Tmem108
4.619720158063664e-17,1.177764902460554,0.336,0.112,5.954819283744063e-13,7,Nlk
6.410554477319921e-17,0.788999491075512,0.495,0.202,8.263204721265378e-13,7,Nos1ap
6.856033450171485e-17,0.7428313864962965,0.617,0.283,8.837427117271044e-13,7,Pak5
1.0212944637973753e-16,0.7641845284684303,0.565,0.246,1.3164485638348168e-12,7,Hivep2
1.2608589867800823e-16,1.026185830035337,0.477,0.201,1.625247233959526e-12,7,Sh3gl2
1.558313793874968e-16,1.0875437701860275,0.336,0.113,2.008666480304834e-12,7,Brinp2
1.7953454785936105e-16,1.1559129449860512,0.379,0.143,2.3142003219071638e-12,7,Slit2
2.1462934442128089e-16,0.9085815744418121,0.379,0.135,2.7665722495903106e-12,7,Bsn
3.084253001325687e-16,1.2965878126342223,0.332,0.115,3.9756021187088106e-12,7,Fmn1
3.2242869523346184e-16,0.7046771726028003,0.729,0.385,4.156105881559323e-12,7,Nrcam
3.2370630603132797e-16,1.062672845098118,0.332,0.112,4.1725742847438176e-12,7,Lingo1
3.307774810288371e-16,0.6175245076519627,0.916,0.633,4.26372173046171e-12,7,Kalrn
4.96002657310045e-16,0.6654373616495066,0.551,0.239,6.393474252726481e-12,7,Trim9
5.834052073487676e-16,0.6737450915901277,0.869,0.596,7.520093122725615e-12,7,Kcnma1
6.665075279638567e-16,0.8962253944204712,0.299,0.095,8.591282035454113e-12,7,Stxbp6
1.2603224103596992e-15,1.1083698029611029,0.322,0.11,1.6245555869536523e-11,7,Cacng3
1.5459222169240364e-15,0.7159633477010234,0.804,0.494,1.9926937376150828e-11,7,Ptprd
1.5611487845252244e-15,0.8024111424335474,0.752,0.437,2.0123207832530142e-11,7,Mapk10
3.63595102377251e-15,0.7391713585778734,0.71,0.376,4.686740869642765e-11,7,Prkcb
4.6027968056957914e-15,0.8777739633518145,0.393,0.151,5.933005082541875e-11,7,Cap2
4.643272017404524e-15,0.5871135004841528,0.537,0.242,5.985177630434431e-11,7,Sox5
4.78901813220795e-15,0.6871144120927206,0.752,0.428,6.173044372416048e-11,7,Kcnb2
4.8611369049977475e-15,0.8773474364961003,0.449,0.186,6.266005470542097e-11,7,Ttll11
5.3503437605284494e-15,0.7159105732200093,0.388,0.145,6.896593107321172e-11,7,Ptprk
5.5181008575774824e-15,0.6094154255374669,0.93,0.647,7.112832005417374e-11,7,Grin2b
6.253290746416548e-15,0.8630996536349919,0.36,0.132,8.06049177213093e-11,7,Fam135b
1.2985192196184942e-14,0.9108807429082817,0.285,0.093,1.673791274088239e-10,7,Cracdl
1.5537087891099285e-14,0.6502900204782751,0.631,0.298,2.002730629162698e-10,7,Ldb2
3.8449701204238303e-14,0.9317054338866366,0.439,0.187,4.956166485226317e-10,7,Apba2
3.852315404327187e-14,0.78998339777602,0.743,0.436,4.965634556177744e-10,7,Pde10a
5.859710316307934e-14,0.8689487493229412,0.36,0.138,7.553166597720928e-10,7,Gas7
6.66068187475188e-14,0.8325889142299397,0.383,0.15,8.585618936555173e-10,7,Tspan5
1.150081464921559e-13,1.0597110054485686,0.28,0.096,1.4824550082838897e-9,7,Arhgef28
1.1747053033175269e-13,0.8689680111090552,0.495,0.228,1.514195135976292e-9,7,Sobp
1.9177720162452256e-13,0.6561279926305539,0.724,0.393,2.4720081289400956e-9,7,Plxna4
1.9740445672736522e-13,0.8373580936317213,0.257,0.082,2.5445434472157376e-9,7,Sptbn2
3.393453598045866e-13,0.6464373882015377,0.519,0.237,4.374161687881121e-9,7,Cdh8
3.850666324964644e-13,0.8808758384405466,0.407,0.174,4.963508892879426e-9,7,Shank1
4.410982603520863e-13,0.9120195817519863,0.346,0.136,5.685756575938393e-9,7,Chn1
4.823990573384946e-13,0.9262720460636577,0.341,0.136,6.2181238490931946e-9,7,Kcnt2
5.261819011332956e-13,0.672405768916533,0.636,0.327,6.78248470560818e-9,7,Csmd2
6.044814961982198e-13,0.6477139431186829,0.449,0.194,7.791766485995053e-9,7,Ppm1e
8.648145937468213e-13,0.6708689940560282,0.533,0.258,1.1147460113396526e-8,7,Hs6st3
9.58122277206006e-13,0.5959299827372142,0.766,0.472,1.2350196153185417e-8,7,Rgs7
1.3778507434826707e-12,0.9821312277821638,0.271,0.095,1.7760496083491625e-8,7,Sorl1
1.571264795555355e-12,0.8428188328590256,0.402,0.171,2.0253603214708525e-8,7,LOC102549789
1.5964008888722422e-12,0.4292264303829936,0.421,0.183,2.0577607457563202e-8,7,Il1rapl2
1.7228769655418819e-12,0.5989529778270586,0.57,0.285,2.2207884085834857e-8,7,LOC100362814
2.281353441781734e-12,0.5847423797742315,0.589,0.291,2.9406645864566555e-8,7,Entrep2
2.497817943883141e-12,0.9881627629299157,0.299,0.112,3.219687329665369e-8,7,Nin
2.709380431241491e-12,0.9318032609804394,0.304,0.115,3.492391375870282e-8,7,Osbpl1a
3.5357861269089915e-12,0.6904694987402928,0.491,0.232,4.55762831758569e-8,7,Etl4
3.5876118201957085e-12,0.6825627069514755,0.565,0.287,4.624431636232268e-8,7,Cacnb4
3.739750180264518e-12,0.818446286928822,0.393,0.168,4.820537982360963e-8,7,LOC103691146
4.007766571222945e-12,0.8305965534763075,0.299,0.113,5.166011110306376e-8,7,Rapgef2
7.377089882169301e-12,0.5644226284041474,0.752,0.428,9.50906885811623e-8,7,Snap25
8.832985112244242e-12,1.0060282843948523,0.304,0.12,1.1385717809682828e-7,7,Myrip
9.528666185131177e-12,0.4947242803635201,0.799,0.492,1.2282450712634087e-7,7,Cacna1e
9.71167722151039e-12,0.5969380806716542,0.5,0.234,1.251835193852689e-7,7,Camk1d
1.1077345056370437e-11,0.9328620154498758,0.257,0.091,1.4278697777661493e-7,7,Pcdh10
1.1715734414784575e-11,0.5436860592611608,0.407,0.172,1.5101581660657316e-7,7,Rtl4
1.3951985369350824e-11,0.5687488172977555,0.813,0.49,1.7984109141093212e-7,7,Agbl4
2.2528579168188885e-11,0.45946505628489254,0.565,0.274,2.9039338547795474e-7,7,Plekha5
2.48699366413881e-11,0.9326677004873503,0.257,0.093,3.205734833074926e-7,7,Epha7
2.8841809534527477e-11,0.7640877311843037,0.411,0.189,3.717709249000592e-7,7,Asap1
2.9686926828733876e-11,0.652931427013145,0.565,0.299,3.8266448682237966e-7,7,Clstn2
3.563997163719598e-11,0.5469968117354389,0.864,0.62,4.593992344034562e-7,7,Erc2
3.762977093748057e-11,0.6773356504051502,0.486,0.237,4.850477473841246e-7,7,Kcnn2
3.90263038550298e-11,0.6581674660341856,0.537,0.275,5.030490566913341e-7,7,Galnt17
4.4374463346305776e-11,0.536472149701924,0.687,0.391,5.7198683253388145e-07,7,Oxr1
5.182473658934594e-11,0.680361393466749,0.593,0.327,6.680208546366692e-7,7,Large1
5.446889761775243e-11,0.7972365638907428,0.262,0.096,7.021040902928289e-7,7,Gfod1
6.82905114772071e-11,0.599906004459398,0.836,0.588,8.802646929411995e-7,7,Opcml
7.136494573247938e-11,0.6783681837752291,0.355,0.153,9.198941504916592e-7,7,Kcnj6
7.553661354837503e-11,0.7407778801368994,0.35,0.15,9.73666948638554e-7,7,Kcnh1
8.307097133599355e-11,0.6060220132205578,0.369,0.159,1.070784820520957e-6,7,Nxpe4
8.837981605639228e-11,0.7955138988329282,0.276,0.106,1.1392158289668964e-6,7,Unc13a
9.735005640311915e-11,0.7426297829083606,0.35,0.15,1.254842227036206e-6,7,LOC120097467
1.030944004072805e-10,0.3931043072748839,0.593,0.294,1.3288868212498458e-6,7,Dock4
