barcode,technical_well,seurat_cluster_raw,seurat_tree_cluster,seurat_cluster_legacy_res_1_5,provisional_annotation,nCount_RNA,nFeature_RNA,percent.mt,scanpy_cluster
48_21_15,D12,7,2,9,Inhibitory_neuron,672,524,0.8928571428571428,8
48_21_29,D12,0,6,0,Unresolved,510,411,0,1
48_21_37,D12,1,5,1,Unresolved,1490,930,0.20134228187919465,4
48_21_42,D12,1,5,1,Unresolved,899,650,0.778642936596218,1
48_21_59,D12,0,6,0,Unresolved,610,449,0.32786885245901637,1
48_21_63,D12,1,5,1,Unresolved,1142,769,0.7005253940455342,2
48_21_69,D12,0,6,0,Unresolved,720,533,0.4166666666666667,1
48_21_92,D12,4,1,4,Unresolved,481,387,2.9106029106029108,4
48_22_06,D12,5,3,6,Unresolved,574,434,0.17421602787456447,7
48_22_16,D12,0,6,0,Unresolved,674,494,0.2967359050445104,1
48_22_63,D12,5,3,6,Unresolved,566,453,0.17667844522968199,7
48_22_92,D12,0,6,2,Unresolved,822,574,0.12165450121654502,1
48_23_37,D12,0,6,9,Unresolved,560,442,0.5357142857142857,6
48_23_40,D12,1,5,1,Unresolved,918,649,0.6535947712418301,6
48_23_49,D12,2,7,5,Excitatory_neuron,1836,1116,0.5991285403050108,3
48_23_50,D12,5,3,6,Unresolved,814,567,0,7
48_23_84,D12,5,3,6,Unresolved,1440,929,0.4861111111111111,6
48_23_91,D12,1,5,1,Unresolved,1101,753,0.2724795640326975,2
48_24_19,D12,1,5,7,Unresolved,1837,1083,0.2721829069134458,2
48_24_21,D12,0,6,2,Unresolved,1097,757,0.09115770282588878,1
48_24_37,D12,6,4,8,Inhibitory_neuron,604,444,0.8278145695364238,6
48_24_65,D12,0,6,0,Unresolved,399,311,0.2506265664160401,1
48_25_04,D12,2,7,5,Excitatory_neuron,634,484,0.31545741324921134,3
48_25_43,D12,3,8,3,Unresolved,762,538,0.26246719160104987,5
48_25_75,D12,1,5,1,Unresolved,481,383,0,2
48_25_77,D12,1,5,7,Unresolved,547,425,0,2
48_25_86,D12,5,3,6,Unresolved,446,363,0.672645739910314,7
48_25_91,D12,5,3,6,Unresolved,514,395,0,7
48_26_06,D12,0,6,0,Unresolved,437,347,0.2288329519450801,2
48_26_10,D12,0,6,2,Unresolved,1414,928,0.3536067892503536,1
48_26_11,D12,0,6,0,Unresolved,569,450,0.8787346221441126,1
48_26_14,D12,1,5,1,Unresolved,1156,751,0.08650519031141869,7
48_26_40,D12,0,6,0,Unresolved,512,415,0.1953125,1
48_26_43,D12,5,3,6,Unresolved,929,629,0.2152852529601722,7
48_26_68,D12,0,6,2,Unresolved,944,654,0.9533898305084746,1
48_27_02,D12,1,5,7,Unresolved,506,389,0.592885375494071,2
48_27_07,D12,0,6,2,Unresolved,669,508,0,1
48_27_29,D12,1,5,1,Unresolved,1108,749,0.45126353790613716,2
48_27_30,D12,2,7,5,Excitatory_neuron,1505,912,0.53156146179402,3
48_27_31,D12,0,6,2,Unresolved,1703,1053,0.4110393423370522,1
48_27_36,D12,6,4,8,Inhibitory_neuron,711,515,0.42194092827004215,6
48_27_64,D12,1,5,1,Unresolved,2599,1441,0.11542901115813775,2
48_27_65,D12,1,5,1,Unresolved,1363,872,0.1467351430667645,2
48_27_67,D12,6,4,8,Inhibitory_neuron,502,388,0.199203187250996,6
48_27_68,D12,1,5,1,Unresolved,1514,972,0.33025099075297226,4
48_27_72,D12,4,1,4,Unresolved,463,388,0.6479481641468683,6
48_27_92,D12,2,7,5,Excitatory_neuron,1539,951,0.2599090318388564,3
48_27_95,D12,1,5,1,Unresolved,2254,1306,0.3105590062111801,2
48_28_04,D12,1,5,1,Unresolved,1022,670,0.29354207436399216,2
48_28_41,D12,0,6,0,Unresolved,454,371,0.22026431718061676,2
48_28_48,D12,1,5,1,Unresolved,655,461,0.15267175572519084,2
48_28_50,D12,5,3,6,Unresolved,799,578,0.37546933667083854,7
48_28_51,D12,3,8,3,Unresolved,2880,1467,0.3125,5
48_28_59,D12,5,3,6,Unresolved,896,633,0.11160714285714285,7
48_28_64,D12,4,1,4,Unresolved,401,317,0.24937655860349126,4
48_29_18,D12,1,5,1,Unresolved,1409,954,0.14194464158977999,1
48_29_58,D12,7,2,9,Inhibitory_neuron,965,657,0.5181347150259068,8
48_29_64,D12,1,5,1,Unresolved,1081,726,0.8325624421831638,1
48_29_69,D12,1,5,7,Unresolved,1087,706,0.6439742410303588,2
48_29_76,D12,7,2,9,Inhibitory_neuron,808,593,0.49504950495049505,8
48_30_35,D12,4,1,4,Unresolved,2230,1361,0.3139013452914798,3
48_30_95,D12,3,8,3,Unresolved,469,370,0.21321961620469082,1
48_31_23,D12,4,1,4,Unresolved,1929,1236,0.2592016588906169,6
